component_id,arm,n_attempts,n_unique,unique_fraction,mean_position_entropy_nats,mean_pairwise_hamming_fraction,developability_pass_fraction_at_0_55,mean_full_heavy_developability_risk,mean_native_recovery,unique_fraction_seed_std,position_entropy_seed_std
V2C001,current_bfn_disorder_on,24,20,0.8333333333333334,2.4154619505514523,0.936141304347826,0.8333333333333334,0.4797125,0.06770833333333333,0.0,0.022432428901034824
V2C001,current_bfn_disorder_off,24,20,0.8333333333333334,2.3358762960729353,0.9211956521739131,0.7916666666666666,0.4798166666666666,0.13541666666666666,0.0,0.037251486785957265
V2C001,stage_a_antibody_bfn,24,20,0.8333333333333334,2.3302644240056836,0.9216485507246377,0.75,0.4678625,0.14583333333333334,0.0,0.025202835646608922
V2C001,proteinmpnn,24,15,0.625,0.2679472587360192,0.1696105072463768,1.0,0.53855,0.390625,0.05892556509887896,0.045581510923765896
V2C001,esm_if,24,1,0.041666666666666664,0.0,0.0,0.0,0.5942,0.25,0.0,0.0
V2C002,current_bfn_disorder_on,24,20,0.8333333333333334,2.4545864706903435,0.939182194616977,0.9583333333333334,0.47906249999999995,0.06547619047619047,0.0,0.012063930469615822
V2C002,current_bfn_disorder_off,24,20,0.8333333333333334,2.3829425801621604,0.9285714285714287,0.9166666666666666,0.47985000000000005,0.1517857142857143,0.0,0.02582508748278327
V2C002,stage_a_antibody_bfn,24,20,0.8333333333333334,2.326603651459767,0.9241718426501037,0.7916666666666666,0.4759166666666667,0.15476190476190477,0.0,0.017261882508049886
V2C002,proteinmpnn,24,10,0.4166666666666667,0.19863260746337108,0.11594202898550723,1.0,0.5391458333333333,0.23214285714285712,0.05892556509887896,0.047579037020452325
V2C002,esm_if,24,2,0.08333333333333333,0.04926220916835905,0.03700828157349896,0.0,0.64915,0.0,0.0,0.003980931640989981
V2C003,current_bfn_disorder_on,24,20,0.8333333333333334,2.376933649111809,0.9302536231884058,0.9166666666666666,0.45902916666666665,0.11458333333333336,0.0,0.032524805669714836
V2C003,current_bfn_disorder_off,24,20,0.8333333333333334,2.2774261667896036,0.9106280193236714,1.0,0.43895,0.2152777777777778,0.0,0.06239037698668742
